"time","duration","height","type"
8.4,1.6,310,0
10.0,0.8,260,0
10.8,0.8,310,0
11.600000000000001,1.6,360,0
13.200000000000001,0.8,310,0
14.000000000000002,0.8,360,0
14.800000000000002,1.6,410,0
16.400000000000002,0.8,360,0
17.200000000000003,0.8,410,0
18.000000000000004,1.6,460,0
19.600000000000005,0.8,410,0
20.400000000000006,0.8,460,0
21.200000000000006,0.8,310,0
22.000000000000007,0.8,260,0
22.800000000000008,0.8,210,0
23.60000000000001,0.8,160,0
24.40000000000001,0.8,60,0
25.20000000000001,0.8,110,0
26.00000000000001,0.8,160,0
26.80000000000001,0.8,210,0
27.600000000000012,0.8,160,0
28.400000000000013,0.8,110,0
29.200000000000014,0.8,60,0
30.800000000000015,0.8,160,0
31.600000000000016,0.8,210,0
32.40000000000001,0.8,260,0
33.20000000000001,0.8,160,0
34.00000000000001,0.8,110,0
34.800000000000004,0.8,60,0
36.4,0.8,160,0
37.199999999999996,0.8,210,0
37.99999999999999,0.8,260,0
38.79999999999999,0.8,210,0
39.59999999999999,0.8,160,0
40.399999999999984,0.8,210,0
41.19999999999998,0.8,160,0
41.99999999999998,0.8,210,0
42.799999999999976,0.8,160,0
43.59999999999997,0.8,110,0
44.39999999999997,0.8,160,0
45.19999999999997,1.6,210,0
46.79999999999997,1.6,310,0
48.39999999999997,1.6,160,0
49.99999999999997,1.6,260,0
51.59999999999997,1.6,110,0
53.199999999999974,1.6,210,0
55.199999999999974,1.6,260,0
56.799999999999976,1.6,310,0
58.39999999999998,1.6,160,0
59.99999999999998,1.6,210,0
